SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
3	1	0	0.5193129181861877	130.85629272460938	21694.json
5,5,5	1,1,1	0,0,0	0.9250664710998535,0.9250664710998535,0.9250664710998535	117.61241912841797,117.61241912841797,117.61241912841797	5576.json
3,3,3	1,1,1	0,0,0	0.8060877323150635,0.8060877323150635,0.8060877323150635	132.43687438964844,132.43687438964844,132.43687438964844	9523.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.8133086562156677,0.5263663530349731,0.633045494556427,0.633045494556427,0.633045494556427	132.43687438964844,132.43687438964844,132.43687438964844,132.43687438964844,132.43687438964844	29550.json
3,3	1,1	0,0	5.897241644561291E-4,5.897241644561291E-4	127.33940887451172,127.33940887451172	25167.json
41,64,64	10,15,15	21,29,29	0.0,0.0,0.0	96.07107543945312,85.75863647460938,85.75863647460938	6454.json
3,3,3	1,1,1	0,0,0	0.32584208250045776,0.32584208250045776,0.32584208250045776	132.43687438964844,132.43687438964844,132.43687438964844	9874.json
7,7,7	2,2,2	2,2,2	0.9663684368133545,0.9663684368133545,0.9663684368133545	115.62542724609375,115.62542724609375,115.62542724609375	11733.json
3,3,3	1,1,1	0,0,0	0.987838089466095,0.987838089466095,0.987838089466095	130.99049377441406,130.99049377441406,130.99049377441406	8030.json
8,9,11,11	3,3,4,4	2,2,4,4	0.6180384159088135,0.5810630321502686,0.17371749877929688,0.17371749877929688	108.72602081298828,106.4749526977539,100.86542510986328,100.86542510986328	41.json
3,3,3,3	1,1,1,1	0,0,0,0	4.1493886965326965E-4,6.484155892394483E-4,6.484155892394483E-4,6.484155892394483E-4	127.33940887451172,127.33940887451172,127.33940887451172,127.33940887451172	29698.json
94,95,95	29,29,29	63,63,63	0.0,0.0,0.0	49.795684814453125,49.446197509765625,49.446197509765625	6967.json
3,3	1,1	0,0	0.299249529838562,0.299249529838562	128.0374755859375,128.0374755859375	3526.json
7,7,7	2,2,2	2,2,2	0.919413149356842,0.919413149356842,0.919413149356842	115.62542724609375,115.62542724609375,115.62542724609375	12081.json
30,48,48,11,11,6,6	7,11,11,4,4,2,2	12,20,20,4,4,2,2	0.0,0.0,0.0,0.6187480688095093,0.6187480688095093,0.9798843264579773,0.9798843264579773	80.43537139892578,67.3687515258789,67.3687515258789,101.57442474365234,101.57442474365234,116.30582427978516,116.30582427978516	3329.json
7,7,7	2,2,2	2,2,2	0.9517953395843506,0.9517953395843506,0.9517953395843506	115.62542724609375,115.62542724609375,115.62542724609375	18674.json
15	5	12	0.1689739227294922	93.8672103881836	31625.json
3	1	0	0.5193129181861877	130.85629272460938	23124.json
13,13,13	1,1,1	0,0,0	0.007166582625359297,0.007166582625359297,0.007166582625359297	98.71317291259766,98.71317291259766,98.71317291259766	2888.json
9,9,9	2,2,2	2,2,2	0.3292170464992523,0.3292170464992523,0.3292170464992523	106.78903198242188,106.78903198242188,106.78903198242188	691.json
3,3,3,3	1,1,1,1	0,0,0,0	0.8301920890808105,0.36868712306022644,0.36868712306022644,0.36868712306022644	132.43687438964844,130.85745239257812,130.85745239257812,130.85745239257812	29665.json
3	1	0	0.04818033054471016	132.43687438964844	34838.json
3	1	0	0.2374352216720581	132.43687438964844	35398.json
3	1	0	0.5193129181861877	130.85629272460938	17545.json
3,3,3	1,1,1	0,0,0	0.9076341986656189,0.9076341986656189,0.9076341986656189	133.59722900390625,133.59722900390625,133.59722900390625	16181.json
19,19,19	2,2,2	0,0,0	0.3370702862739563,0.3370702862739563,0.3370702862739563	91.36821746826172,91.36821746826172,91.36821746826172	2415.json
3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594,127.02415466308594	19006.json
7,7,7	2,2,2	2,2,2	0.9278040528297424,0.9278040528297424,0.9278040528297424	115.62542724609375,115.62542724609375,115.62542724609375	13757.json
6,6,6	1,1,1	0,0,0	0.6504189372062683,0.6504189372062683,0.6504189372062683	115.2708511352539,115.2708511352539,115.2708511352539	663.json
3,3,3	1,1,1	0,0,0	0.9076341986656189,0.9076341986656189,0.9076341986656189	133.59722900390625,133.59722900390625,133.59722900390625	32342.json
3,3,3	1,1,1	0,0,0	0.9076341986656189,0.9076341986656189,0.9076341986656189	133.59722900390625,133.59722900390625,133.59722900390625	19338.json
3	1	0	0.5193129181861877	130.85629272460938	21886.json
3,3,3	1,1,1	0,0,0	0.23986800014972687,0.23986800014972687,0.23986800014972687	130.85745239257812,130.85745239257812,130.85745239257812	8376.json
9,9,9	3,3,3	6,6,6	0.475056916475296,0.475056916475296,0.475056916475296	105.322021484375,105.322021484375,105.322021484375	766.json
3,3,3	1,1,1	0,0,0	0.0,0.0,0.0	123.26780700683594,123.26780700683594,123.26780700683594	26002.json
