SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
7,7,3	2,2,1	3,3,0	0.03339552879333496,0.006271952763199806,0.025000326335430145	108.26785278320312,108.9308090209961,128.0337677001953	40342.json
7	2	3	0.03643680363893509	109.44398498535156	49140.json
12,12,12,12	3,3,3,3	6,6,6,6	0.2629891037940979,0.2629891037940979,0.2629891037940979,0.2629891037940979	98.40986633300781,98.40986633300781,98.40986633300781,98.40986633300781	26906.json
7,7,6	1,1,2	0,0,0	0.030435314401984215,0.030435314401984215,0.20697683095932007	111.99275970458984,111.99275970458984,115.55754852294922	19262.json
3	1	0	0.8951972126960754	132.9956512451172	36672.json
76,73,71,72,16	17,17,17,17,5	23,23,25,23,9	0.0,0.0,0.0,0.0,0.04731566831469536	55.22570037841797,56.215980529785156,56.610076904296875,56.37107467651367,93.31134796142578	21248.json
3	1	0	0.3677549660205841	133.59722900390625	29941.json
9	3	4	0.19198596477508545	104.9693374633789	14601.json
9,12,12,12	2,3,2,2	2,4,2,2	0.003880089148879051,0.0028027184307575226,0.001383515540510416,0.001383515540510416	104.01383972167969,97.66751098632812,97.63903045654297,97.63903045654297	16945.json
3	1	0	0.23325900733470917	131.43582153320312	29447.json
11,12	4,4	3,3	3.771326446440071E-4,8.132421062327921E-4	100.19174194335938,97.76776885986328	2900.json
3,3,5,5	1,1,1,1	0,0,0,0	0.969478964805603,0.969478964805603,0.9786037802696228,0.9786037802696228	126.31071472167969,126.31071472167969,116.68553161621094,116.68553161621094	26826.json
3,3,3	1,1,1	0,0,0	0.7624149918556213,0.7624149918556213,0.7624149918556213	132.25152587890625,132.25152587890625,132.25152587890625	12830.json
34,36,36,39,49,49,60,31,30,42,42	8,10,10,11,13,13,13,6,6,10,10	20,24,24,26,30,30,30,12,12,19,19	5.604471080005169E-4,4.731666122097522E-4,4.731666122097522E-4,4.1121451067738235E-4,0.0,0.0,0.0,0.003749461378902197,0.004155175294727087,4.874531296081841E-4,4.874531296081841E-4	74.79999542236328,73.13121032714844,73.13121032714844,71.34061431884766,65.77376556396484,65.72340393066406,61.859214782714844,78.23428344726562,78.81999969482422,70.9538803100586,70.9538803100586	30299.json
2,2,2,3,3	1,1,1,1,1	0,0,0,0,0	0.9585820436477661,0.9790648818016052,0.9790648818016052,0.04698983207345009,8.204863988794386E-4	137.59957885742188,139.0139617919922,139.0139617919922,128.50894165039062,127.76480865478516	35964.json
3	1	0	0.624330461025238	132.25152587890625	43173.json
44,44,44	13,13,13	16,16,16	6.231206934899092E-4,6.3323974609375E-4,5.410040612332523E-4	70.64934539794922,70.64934539794922,70.59059143066406	15413.json
4	1	0	0.2253086417913437	125.64796447753906	17161.json
22	4	6	0.0	83.75169372558594	28641.json
3,3	1,1	0,0	0.23775885999202728,0.23775885999202728	128.60531616210938,128.60531616210938	14088.json
6	3	6	0.5405943393707275	112.59016418457031	12905.json
3	1	0	0.6869896054267883	129.37762451171875	38050.json
3,3,3	1,1,1	0,0,0	0.8555033206939697,0.8555033206939697,0.8555033206939697	129.9696044921875,129.9696044921875,129.9696044921875	26726.json
8	1	0	0.036061134189367294	107.43517303466797	2744.json
10,10,10,8	2,3,3,2	2,4,4,0	0.07980956137180328,0.010947327129542828,0.007255155593156815,0.0018787209410220385	103.9950180053711,103.22525787353516,102.88306427001953,106.21800994873047	3630.json
9,9,9	2,2,2	2,2,2	0.016349662095308304,0.031058188527822495,0.03289822116494179	105.90543365478516,106.19174194335938,106.19174194335938	36386.json
3,3,3	1,1,1	0,0,0	0.9618837833404541,0.9618837833404541,0.9035932421684265	132.4454345703125,132.4454345703125,133.59722900390625	1080.json
3,3,3	1,1,1	0,0,0	0.008965072222054005,0.008965072222054005,0.008965072222054005	127.94976043701172,127.94976043701172,127.94976043701172	31388.json
10,10	7,7	18,18	0.007485228590667248,0.007485228590667248	100.0282974243164,100.0282974243164	43506.json
9,9	3,3	2,2	0.6769723892211914,0.6688786149024963	107.23126983642578,107.23126983642578	16269.json
50,50,49,49	11,11,11,11	16,16,16,16	0.0,0.0,0.0,0.0	63.65894317626953,63.65894317626953,64.22826385498047,64.22826385498047	24080.json
3,3	1,1	0,0	0.5384799242019653,0.5384799242019653	129.2428436279297,129.2428436279297	38529.json
3,3	1,1	0,0	0.29209092259407043,0.7142555713653564	129.37762451171875,130.07347106933594	36759.json
5	1	0	0.8477069139480591	120.53388214111328	42713.json
4,11	2,3	2,6	0.18916422128677368,0.002959261415526271	122.87683868408203,100.02687072753906	14994.json
59,59,59,58,58,57,53	13,13,13,14,14,15,13	23,23,23,22,22,23,20	0.0,0.0,0.0,0.0,0.0,0.0,0.0	61.27604675292969,61.27604675292969,61.27604675292969,61.66794204711914,61.61032485961914,61.82429504394531,63.73674392700195	14276.json
