SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0.5648802518844604,0.5648802518844604,0.5648802518844604,0.5173436403274536,0.3845914304256439,0.3489677906036377,0.3489677906036377,0.3429109454154968	125.27178192138672,125.27178192138672,125.27178192138672,125.27178192138672,124.26470947265625,124.26470947265625,124.26470947265625,124.26470947265625	10170.json
3,3	1,1	0,0	0.876502513885498,0.876502513885498	130.85629272460938,130.85629272460938	9379.json
4	1	0	0.2622756361961365	124.1749038696289	4878.json
14,14,15,15,20,19,21,21,21,21,21,21,21,21,21,21,21	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.007180031388998032,0.007384114433079958,0.008847887627780437,0.013695885427296162,0.013700892217457294,0.02667137421667576,0.037666406482458115,0.033448006957769394,0.033448006957769394,0.03608047217130661,0.04462471231818199,0.03833475336432457,0.07570026069879532,0.01420954242348671,0.01420954242348671,0.010044729337096214,0.010044729337096214	95.52420806884766,95.52420806884766,94.09951782226562,94.29588317871094,89.03101348876953,90.14791870117188,88.42459869384766,88.46041107177734,88.46041107177734,88.5623779296875,88.80950927734375,88.61412048339844,89.10635375976562,88.59937286376953,88.59937286376953,88.41017150878906,88.41017150878906	452.json
8,8	2,2	2,2	0.04843388497829437,0.04843388497829437	107.74124908447266,107.74124908447266	8360.json
3	1	0	0.2714482545852661	129.4591827392578	5653.json
3	1	0	0.8845128417015076	131.91592407226562	6446.json
11,18,18	1,2,2	0,2,2	0.011741716414690018,3.0399352544918656E-4,3.0399352544918656E-4	99.49979400634766,87.80826568603516,87.80826568603516	7936.json
19,20,20,20,20,19,19,19,19,22,3,3	6,6,6,6,6,6,6,6,6,7,1,1	14,14,14,14,14,14,14,14,14,17,0,0	0.0,0.0,0.0,0.0,0.0,4.852378333453089E-4,4.800299648195505E-4,4.800299648195505E-4,4.800299648195505E-4,1.0058061161544174E-4,0.002147076418623328,0.00429916474968195	86.9660415649414,86.10164642333984,86.10164642333984,86.10164642333984,85.90396118164062,87.10506439208984,87.14008331298828,87.14008331298828,87.14008331298828,83.75226593017578,127.34163665771484,127.34163665771484	11278.json
3,3,3,3,3	1,1,1,1,1	0,0,0,0,0	0.9382085204124451,0.9426420331001282,0.8274886012077332,0.8274886012077332,0.8274886012077332	132.086669921875,131.60296630859375,130.85629272460938,130.85629272460938,130.85629272460938	730.json
7,7,7,7,7	1,1,1,1,1	0,0,0,0,0	0.0,0.0,0.0,0.0,0.0	108.10176849365234,107.99820709228516,107.82949829101562,107.82949829101562,107.82949829101562	10070.json
5,5,5,5,5	2,2,2,2,2	0,0,0,0,0	0.33498358726501465,0.2020968198776245,0.2020968198776245,0.2020968198776245,0.2020968198776245	118.83403015136719,118.43477630615234,118.43477630615234,118.43477630615234,118.43477630615234	2567.json
3	1	0	0.04058711975812912	126.50045013427734	6071.json
4,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.5648802518844604,0.5648802518844604,0.5648802518844604,0.3231184780597687,0.3231184780597687	125.27178192138672,125.27178192138672,125.27178192138672,124.26470947265625,124.26470947265625	9586.json
5,5	1,1	0,0	0.047941625118255615,0.047941625118255615	119.49191284179688,119.49191284179688	641.json
7,7	2,2	9,9	0.03368997573852539,0.03368997573852539	109.54173278808594,109.54173278808594	8752.json
5,5,5	1,1,1	0,0,0	0.5280562043190002,0.5280562043190002,0.5280562043190002	119.41529846191406,119.41529846191406,119.41529846191406	3280.json
