SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
40,40,39,8,8,9,9,10,10,10,10,21,22,23,23,23,23,26,26,30,30,30,32,33,22,22,22,18,25,24,25,26,26,26,24,24,26,23,23	2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,4,4,6,6,6,4,4,4,4,4,4,4,4,4,4,2,2	0.0,0.0,0.0,0.9703823328018188,0.9759093523025513,0.5635104179382324,0.5631550550460815,0.7150189280509949,0.7640900611877441,0.7640900611877441,0.7592519521713257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058769550174474716,0.06231669336557388,0.06163960322737694,0.1974737048149109,0.06526318937540054,0.07161340117454529,0.06526318937540054,0.058045003563165665,0.058045003563165665,0.058045003563165665,0.2059909552335739,0.21953845024108887,0.047588247805833817,0.060826729983091354,0.04332408681511879	71.7098388671875,71.555419921875,72.22532653808594,107.715087890625,107.715087890625,107.3475570678711,107.3475570678711,105.20713806152344,105.48951721191406,105.48951721191406,105.48951721191406,86.88899230957031,85.758544921875,84.83313751220703,84.80477905273438,84.36247253417969,84.36247253417969,81.46553802490234,81.49372100830078,78.67491912841797,78.67491912841797,78.67491912841797,77.32197570800781,76.6796646118164,86.73641967773438,86.68936157226562,86.65857696533203,91.80171966552734,84.51398468017578,85.4323501586914,84.51398468017578,83.71783447265625,83.71783447265625,83.71783447265625,85.4323501586914,85.4323501586914,83.6894760131836,86.57171630859375,86.29275512695312	5296.json
3,3,3	1,1,1	0,0,0	0.3139329254627228,0.29642418026924133,0.29642418026924133	131.43582153320312,131.43582153320312,131.43582153320312	13583.json
4,4,4	1,1,1	0,0,0	0.816148579120636,0.816148579120636,0.816148579120636	127.25547790527344,127.25547790527344,127.25547790527344	6019.json
3,3,3	1,1,1	0,0,0	0.07033897936344147,0.07033897936344147,0.07033897936344147	129.81280517578125,129.81280517578125,129.81280517578125	4237.json
19,24,24,27,30,3,3,3	4,4,4,5,6,1,1,1	6,6,6,7,9,0,0,0	0.19861701130867004,0.31067588925361633,0.31067588925361633,0.1640620231628418,0.06657200306653976,0.5755854845046997,0.5755854845046997,0.5755854845046997	90.71566009521484,86.93109893798828,86.93109893798828,84.23442077636719,81.2262191772461,131.75106811523438,131.75106811523438,131.75106811523438	9588.json
3,3,3	1,1,1	0,0,0	0.2472783774137497,0.2472783774137497,0.2472783774137497	129.12539672851562,129.12539672851562,129.12539672851562	5868.json
7,7,7,7,11	3,3,3,3,3	4,4,4,4,4	0.8175433278083801,0.8264521956443787,0.8264521956443787,0.8264521956443787,0.7324228286743164	110.12152099609375,110.12152099609375,110.12152099609375,110.12152099609375,102.5993423461914	11947.json
5,5,5	1,1,1	0,0,0	0.650283694267273,0.641609251499176,0.6229837536811829	118.2250747680664,118.14622497558594,118.07197570800781	1571.json
3,3,3,3	1,1,1,1	0,0,0,0	0.3042653799057007,0.7749220132827759,0.7749220132827759,0.6736501455307007	128.8216552734375,130.05470275878906,130.05470275878906,131.28770446777344	13842.json
3,3	1,1	0,0	0.9871326684951782,0.9871326684951782	130.18594360351562,130.18594360351562	14279.json
12	4	5	0.11351622641086578	101.11328125	1122.json
3,3,7,7,9,9,9,9	1,1,2,2,2,2,2,2	0,0,2,2,2,2,2,2	0.44075503945350647,0.42132267355918884,0.17906822264194489,0.0812336653470993,0.05836927145719528,0.053828053176403046,0.053828053176403046,0.053828053176403046	132.9956512451172,133.59722900390625,112.68008422851562,112.53359985351562,107.9759750366211,107.9759750366211,107.9759750366211,107.9759750366211	10732.json
6	2	2	0.6001931428909302	116.33555603027344	14577.json
3,3,3,3	1,1,1,1	0,0,0,0	0.7487266659736633,0.9145048260688782,0.9145048260688782,0.9145048260688782	133.59722900390625,132.9956512451172,132.9956512451172,132.9956512451172	12600.json
4,16,17,42,42	1,3,3,5,5	0,5,5,11,11	0.7027432918548584,0.025058012455701828,0.030330868437886238,0.0,0.0	123.37332153320312,93.3551254272461,92.07405090332031,71.27100372314453,71.27100372314453	13575.json
6,5,5,5	2,2,2,2	5,3,3,3	0.5057506561279297,0.25473615527153015,0.25473615527153015,0.25473615527153015	115.26795196533203,119.185302734375,119.185302734375,119.185302734375	6431.json
15,22,20,20,20,21,22,22,22,23	4,5,4,4,4,4,4,4,4,4	6,6,2,2,2,2,2,2,2,2	0.03377573937177658,0.06093612685799599,0.09100978821516037,0.11450398713350296,0.1270778477191925,0.11389006674289703,0.1072634756565094,0.10727701336145401,0.10727701336145401,0.07542664557695389	92.41449737548828,85.45205688476562,87.4316635131836,87.5135498046875,87.5135498046875,86.27928161621094,85.5256576538086,85.5256576538086,85.5256576538086,84.60052490234375	8425.json
3,3,3,7	1,1,1,2	0,0,0,3	0.9559124112129211,0.9559124112129211,0.9559124112129211,0.015329414047300816	132.9956512451172,132.9956512451172,132.9956512451172,111.4901123046875	8786.json
2,2,2	1,1,1	0,0,0	0.9957733750343323,0.9957733750343323,0.9959518313407898	139.1788330078125,139.1788330078125,139.1788330078125	12998.json
6,6,6	2,2,2	2,2,2	0.22246460616588593,0.1720043271780014,0.1720043271780014	117.56661224365234,117.6890869140625,117.6890869140625	14111.json
14,22,24,24,24,24,24,24,22,22,22,22,22	6,5,5,5,5,5,5,5,5,5,5,5,5	10,14,14,21,21,21,21,21,21,21,21,21,21	0.009883489459753036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	94.71528625488281,86.57073974609375,84.27799224853516,82.30345916748047,82.3892822265625,83.83747100830078,83.83747100830078,82.98841857910156,84.39800262451172,84.39800262451172,84.39800262451172,84.39800262451172,84.09107971191406	10455.json
