SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
12,4,3,4,6,5,5,5	3,1,1,1,1,1,1,1	2,0,0,0,0,0,0,0	0.6916502118110657,0.9346812963485718,0.9909794330596924,0.9422789216041565,0.9579526782035828,0.9033787250518799,0.9033787250518799,0.9033787250518799	100.37417602539062,123.56243133544922,128.8092498779297,123.19084167480469,113.50555419921875,116.45915985107422,116.45915985107422,116.45915985107422	30527.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9489256143569946,0.9489256143569946,0.9489256143569946,0.9489256143569946	130.85629272460938,130.85629272460938,130.85629272460938,130.85629272460938	18211.json
3,17,17,17,18	1,6,6,6,6	0,14,14,14,15	0.8112951517105103,0.2982812225818634,0.2982812225818634,0.2982812225818634,0.31048354506492615	133.59722900390625,90.7931137084961,90.7931137084961,90.7931137084961,89.90184020996094	26314.json
6	2	2	0.37130123376846313	115.63639831542969	33916.json
99,61	34,15	100,26	0.0,0.0	43.80776596069336,60.431480407714844	9518.json
3,3	1,1	0,0	0.8349381685256958,0.8349381685256958	132.9956512451172,132.9956512451172	12222.json
33	1	0	0.0	75.36589813232422	415.json
5	1	0	0.8931190967559814	120.63774108886719	9358.json
3	1	0	0.6882901191711426	131.43582153320312	22655.json
5,5	2,2	2,2	0.7892087697982788,0.7892087697982788	121.07627868652344,121.07627868652344	21243.json
19	2	0	0.08111591637134552	88.99787902832031	7397.json
21,51,51,21,26	3,10,10,3,3	7,21,21,7,7	0.0,0.0,0.0,0.0,3.3730771974660456E-4	85.45912170410156,66.71002197265625,66.71002197265625,85.45912170410156,81.99922180175781	20873.json
26,26,26,26	6,6,6,6	14,14,14,14	2.5268850731663406E-4,2.5268850731663406E-4,2.5268850731663406E-4,2.5268850731663406E-4	80.43060302734375,80.43060302734375,80.43060302734375,80.43060302734375	13560.json
81,81,82,82	11,11,11,11	21,21,21,21	0.0,0.0,0.0,0.0	55.49422836303711,55.49422836303711,55.2175407409668,54.8542366027832	3421.json
3	1	0	3.21906030876562E-4	128.14134216308594	13428.json
15,15,15,16,16	4,4,4,4,4	5,5,5,5,5	0.2288849651813507,0.2288849651813507,0.2288849651813507,0.13610868155956268,0.13610868155956268	95.80615997314453,95.80615997314453,95.80615997314453,93.8648681640625,93.8648681640625	36112.json
105	22	29	0.0	50.56308364868164	11338.json
11,11,11,11	2,2,2,2	2,2,2,2	0.1816241443157196,0.1816241443157196,0.1816241443157196,0.1816241443157196	99.14173889160156,99.14173889160156,99.14173889160156,99.14173889160156	4374.json
5	2	2	0.49570462107658386	119.25943756103516	29062.json
3,3,3	1,1,1	0,0,0	0.8386844992637634,0.8386844992637634,0.8386844992637634	132.4454345703125,132.4454345703125,132.4454345703125	20230.json
10,7	2,1	2,0	0.18794019520282745,0.1394098848104477	103.00152587890625,109.13883209228516	26987.json
5,5,5	1,1,1	0,0,0	0.6764287352561951,0.6764287352561951,0.6764287352561951	123.47569274902344,123.47569274902344,123.47569274902344	25769.json
3,3,3	1,1,1	0,0,0	0.9839994311332703,0.9839994311332703,0.9839994311332703	132.9956512451172,132.9956512451172,132.9956512451172	27193.json
3	1	0	0.49204307794570923	130.45266723632812	3796.json
5	2	3	0.8005132675170898	120.41978454589844	19826.json
8,8,8,7	1,1,1,1	0,0,0,0	0.5609787106513977,0.5609787106513977,0.5609787106513977,0.2150656133890152	108.02567291259766,108.02567291259766,108.02567291259766,108.19921875	25053.json
68,70,70,54,92,92,92,92,88	9,9,9,9,15,15,15,15,15	13,13,13,13,25,25,25,25,25	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	60.69963836669922,60.21600341796875,60.21600341796875,64.42008209228516,51.958961486816406,51.958961486816406,51.958961486816406,51.958961486816406,52.751827239990234	14958.json
3	1	0	0.8466899394989014	130.85629272460938	3575.json
8,8,8,8	1,1,1,1	0,0,0,0	8.666799403727055E-4,8.351796423085034E-4,8.351796423085034E-4,8.351796423085034E-4	112.9516372680664,112.9516372680664,112.9516372680664,112.9516372680664	25308.json
3	1	0	0.577186107635498	129.81976318359375	6239.json
3	1	0	0.4795514941215515	128.50894165039062	4044.json
2	1	0	0.9886895418167114	140.82913208007812	7359.json
3	1	0	0.9929409027099609	133.59722900390625	7760.json
2	1	0	0.9974160194396973	142.4026641845703	8264.json
11,3,3,3	3,1,1,1	3,0,0,0	0.1170448288321495,0.62880939245224,0.62880939245224,0.62880939245224	101.26284790039062,129.81976318359375,129.81976318359375,129.81976318359375	16300.json
3	1	0	0.9365176558494568	133.59722900390625	9512.json
3	1	0	0.33109402656555176	131.1535186767578	1490.json
6	2	2	0.3848598599433899	115.63639831542969	35085.json
37	9	10	0.0	72.67703247070312	14586.json
9	2	0	0.11390910297632217	106.28121948242188	6364.json
3	1	0	0.8562927842140198	130.85629272460938	9233.json
9	1	0	0.3903098702430725	106.73699188232422	16068.json
3,4,4,4,10	1,1,1,1,2	0,0,0,0,0	0.9704954028129578,0.7166414260864258,0.7166414260864258,0.7166414260864258,0.7377336025238037	131.28770446777344,125.27178192138672,125.27178192138672,125.27178192138672,105.52500915527344	30415.json
17,20,20,20,20	3,3,3,3,3	5,5,5,5,5	0.031569719314575195,0.0035293062683194876,0.0035293062683194876,0.0035293062683194876,0.003964317962527275	90.79862976074219,87.55481719970703,87.55481719970703,87.55481719970703,87.6662368774414	24369.json
3	1	0	0.6138611435890198	131.43582153320312	3018.json
6	2	4	0.8606270551681519	114.97787475585938	31798.json
3	1	0	0.933535099029541	132.9956512451172	7264.json
6	2	2	0.8594104051589966	116.86482238769531	6424.json
21,21	3,3	5,5	2.9449709109030664E-4,2.9449709109030664E-4	85.36198425292969,85.36198425292969	11110.json
3,3,3,3	1,1,1,1	0,0,0,0	0.6639264822006226,0.6639264822006226,0.6639264822006226,0.6639264822006226	131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	12525.json
4	1	0	0.4700024127960205	123.37332153320312	1044.json
3,3,3	1,1,1	0,0,0	0.43934863805770874,0.43934863805770874,0.43934863805770874	132.9956512451172,132.9956512451172,132.9956512451172	14627.json
27,27,27	6,6,6	15,15,15	0.131561279296875,0.131561279296875,0.131561279296875	81.94999694824219,81.94999694824219,81.94999694824219	19595.json
8	2	2	0.3083188533782959	109.75241088867188	14222.json
26,26,26	7,7,7	11,11,11	0.2308591604232788,0.2308591604232788,0.2308591604232788	81.39973449707031,81.39973449707031,81.39973449707031	17902.json
6	1	0	0.008099464699625969	113.24961853027344	9089.json
12,12,12,9	1,1,1,1	0,0,0,0	0.1026851087808609,0.1026851087808609,0.1026851087808609,0.05165751278400421	99.70748138427734,99.70748138427734,99.70748138427734,103.7931137084961	15553.json
6	1	0	0.0042997365817427635	113.84647369384766	16091.json
19	3	4	0.04487131908535957	89.41580200195312	12381.json
16,16,21,23,26,26,26,29,40,43	3,3,4,4,6,6,6,7,8,8	5,5,7,7,11,11,11,13,15,15	0.03935777768492699,0.04057810455560684,0.002645227825269103,2.7409210451878607E-4,1.5753139450680465E-4,1.5753139450680465E-4,1.5753139450680465E-4,0.0,0.0,0.0	91.02005767822266,91.02005767822266,84.73007202148438,82.3042221069336,79.68948364257812,79.68948364257812,79.68948364257812,77.37921142578125,71.45547485351562,70.24578857421875	29599.json
3,3,3,3	1,1,1,1	0,0,0,0	0.9238102436065674,0.9238102436065674,0.9238102436065674,0.9238102436065674	132.9956512451172,132.9956512451172,132.9956512451172,132.9956512451172	5979.json
3,3,3	1,1,1	0,0,0	0.8768985867500305,0.8768985867500305,0.8768985867500305	132.9956512451172,132.9956512451172,132.9956512451172	27701.json
11,11,11,12,12	1,1,1,1,1	0,0,0,0,0	0.12853144109249115,0.12853144109249115,0.12853144109249115,0.0561063215136528,0.0561063215136528	101.6244888305664,101.6244888305664,101.6244888305664,99.80854797363281,99.80854797363281	14067.json
31,33,34,34	8,8,8,8	14,14,14,14	0.020028887316584587,0.02848927117884159,0.024698475375771523,0.02471802569925785	77.05229187011719,75.59048461914062,74.91632080078125,74.91632080078125	4512.json
6,7,7	2,2,2	2,4,4	0.8671788573265076,0.36757346987724304,0.3503100574016571	113.29119873046875,109.01081085205078,109.01081085205078	19201.json
5	2	2	0.762085497379303	121.80303955078125	22400.json
4,4,4,4,4	1,1,1,1,1	0,0,0,0,0	0.9886762499809265,0.9886762499809265,0.9886762499809265,0.9886762499809265,0.9361557364463806	125.91468811035156,125.91468811035156,125.91468811035156,125.91468811035156,124.1749038696289	5914.json
9,7,7,7	1,1,1,1	0,0,0,0	0.006947321351617575,0.06005685031414032,0.06005685031414032,0.06005685031414032	111.1156005859375,114.7100601196289,114.7100601196289,114.7100601196289	28817.json
6,6,6	2,2,2	2,2,2	0.0888545885682106,0.0888545885682106,0.0888545885682106	115.41443634033203,115.41443634033203,115.41443634033203	19568.json
21,23,23,26,26,26,26,25,26	4,4,4,5,5,5,5,5,5	8,8,8,10,10,10,10,9,9	0.02578011155128479,0.011537447571754456,0.011111514642834663,0.00415516784414649,0.0036611407995224,0.0036611407995224,0.0036611407995224,0.0028381573501974344,0.0027536454144865274	86.45105743408203,84.29833221435547,84.13330841064453,80.81592559814453,80.81592559814453,80.81592559814453,80.81592559814453,81.84385681152344,81.15101623535156	24292.json
8	3	3	0.24178044497966766	108.61744689941406	34564.json
5,5,5,5,6	2,2,2,2,2	2,2,2,2,2	0.8958863019943237,0.8958863019943237,0.8958863019943237,0.8958863019943237,0.8689413070678711	119.71456909179688,119.71456909179688,119.71456909179688,119.71456909179688,116.5784912109375	18207.json
8,8,8	1,1,1	0,0,0	0.126007080078125,0.126007080078125,0.126007080078125	109.63684844970703,109.63684844970703,109.63684844970703	33321.json
4,4,4,5	2,2,2,2	2,2,2,2	0.4978017508983612,0.4978017508983612,0.4978017508983612,0.5593056678771973	123.71485900878906,123.71485900878906,123.71485900878906,119.9036865234375	17979.json
71,80,80,85,94,98,98,97,103,103,103,100,107	15,17,16,16,17,18,18,18,18,18,18,19,19	36,39,38,38,42,45,45,45,45,45,45,46,46	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	58.157222747802734,55.15420913696289,55.54050827026367,54.01876449584961,51.651344299316406,50.37861251831055,50.32674026489258,50.543975830078125,49.45969009399414,49.45969009399414,49.45969009399414,48.80247116088867,47.59133529663086	31976.json
4	1	0	0.9249024987220764	127.09062194824219	8899.json
5,5	2,2	3,3	0.7182177305221558,0.7182177305221558	117.43174743652344,117.43174743652344	11108.json
4,4	1,1	0,0	0.9230787754058838,0.9230787754058838	127.09062194824219,127.09062194824219	6256.json
11	3	5	0.2866423428058624	100.69194030761719	6961.json
66,66,66,69	15,15,15,15	41,41,41,41	0.0,0.0,0.0,0.0	57.211326599121094,57.211326599121094,57.211326599121094,56.58710479736328	27129.json
10,10,10,13	4,4,4,4	5,5,5,5	0.2782539129257202,0.2782539129257202,0.2782539129257202,0.4375080466270447	101.76222229003906,101.76222229003906,101.76222229003906,97.32280731201172	30294.json
4	1	0	0.6249115467071533	123.75868225097656	36960.json
3,3,3	1,1,1	0,0,0	0.6565825343132019,0.6505408883094788,0.6505408883094788	128.7478790283203,128.7478790283203,128.7478790283203	21987.json
8,23,23,23,20,20	2,3,3,3,3,3	2,2,2,2,2,4	0.02882041409611702,0.011932000517845154,0.011932000517845154,0.011932000517845154,0.0021229973062872887,8.278877357952297E-4	106.08340454101562,86.8584976196289,86.8584976196289,86.8584976196289,87.8689956665039,87.53853607177734	18466.json
3,3,3	1,1,1	0,0,0	0.8619977831840515,0.8619977831840515,0.8619977831840515	132.9956512451172,132.9956512451172,132.9956512451172	23526.json
6,6,6	2,2,2	3,3,3	0.43600842356681824,0.43600842356681824,0.43600842356681824	113.73401641845703,113.73401641845703,113.73401641845703	32735.json
16,22,22,26,27,28,26,27,26,28,28,28,28,28,33	4,4,4,5,5,5,5,6,6,7,7,7,7,7,8	5,5,5,7,7,7,7,9,9,10,10,10,10,10,12	0.26175984740257263,0.16666188836097717,0.17687493562698364,0.05553695559501648,0.04225914180278778,0.03649672865867615,0.05553695559501648,0.06449422240257263,0.24877098202705383,0.14466211199760437,0.1545211523771286,0.1545211523771286,0.1545211523771286,0.1540951132774353,0.07966335862874985	92.45647430419922,87.19654846191406,87.16073608398438,83.3793716430664,82.56578826904297,81.65152740478516,83.3793716430664,81.54296875,82.3838119506836,79.96656036376953,79.86995697021484,79.86995697021484,79.86995697021484,79.54751586914062,76.03946685791016	24912.json
5,6,6,6,7,7	1,1,1,1,1,1	0,0,0,0,0,0	0.2107982188463211,0.2956899106502533,0.2956899106502533,0.2956899106502533,0.13517135381698608,0.9128685593605042	120.43379974365234,116.80848693847656,116.80848693847656,116.80848693847656,112.42162322998047,111.95084381103516	20839.json
10	3	6	0.4208272099494934	105.53141784667969	5733.json
11,11,11	3,3,3	4,4,4	0.7374531626701355,0.7374531626701355,0.7374531626701355	103.62164306640625,103.62164306640625,103.62164306640625	16096.json
4	1	0	0.1934809684753418	123.13409423828125	19806.json
16,16,16,16,16	2,2,2,2,2	3,3,3,3,3	0.026389475911855698,0.02429690770804882,0.023045562207698822,0.023045562207698822,0.023045562207698822	92.51719665527344,92.51719665527344,92.51719665527344,92.51719665527344,92.51719665527344	23747.json
11,11,11	3,3,3	4,4,4	0.046681687235832214,0.046681687235832214,0.046681687235832214	100.66791534423828,100.66791534423828,100.66791534423828	21481.json
4,4,4,4	1,1,1,1	0,0,0,0	0.41341325640678406,0.41341325640678406,0.41341325640678406,0.41341325640678406	127.09062194824219,127.09062194824219,127.09062194824219,127.09062194824219	13536.json
3,3,3,5	1,1,1,2	0,0,0,4	0.6898186802864075,0.6898186802864075,0.6898186802864075,0.8802636861801147	131.43582153320312,131.43582153320312,131.43582153320312,120.52021789550781	18380.json
4,4	1,1	0,0	0.4526035785675049,0.44189688563346863	125.15930938720703,125.15930938720703	32319.json
3	1	0	0.9595726132392883	129.81280517578125	19344.json
12,12,12	2,2,2	3,3,3	0.44716235995292664,0.44716235995292664,0.44716235995292664	98.22776794433594,98.22776794433594,98.22776794433594	26903.json
20,3	5,1	10,0	0.03150276094675064,0.7195666432380676	87.9626693725586,132.086669921875	8162.json
12,12,12,12	3,3,3,3	4,4,4,4	0.1267869621515274,0.1267869621515274,0.1267869621515274,0.02177225798368454	100.04906463623047,100.04906463623047,100.04906463623047,99.2134780883789	24017.json
4	1	0	0.35752132534980774	127.09062194824219	14584.json
3	1	0	0.9707934856414795	130.18594360351562	6740.json
3,3,3	1,1,1	0,0,0	0.9964390397071838,0.9964390397071838,0.9964390397071838	133.59722900390625,133.59722900390625,133.59722900390625	26806.json
7,12,16,16,16	3,3,3,3,3	5,5,5,5,5	0.8911542892456055,0.20829850435256958,0.0033954286482185125,0.0033954286482185125,0.0033954286482185125	112.37784576416016,100.48571014404297,93.39984893798828,93.39984893798828,93.39984893798828	21609.json
22,23,24	5,5,5	10,10,7	2.0140250853728503E-4,0.0,0.0	82.8413314819336,81.86750030517578,81.52416229248047	18957.json
27	2	2	0.0	80.85395050048828	7161.json
4,4	1,1	0,0	0.9881179332733154,0.9881179332733154	125.91468811035156,125.91468811035156	2870.json
65,65,65	18,18,18	34,34,34	0.0,0.0,0.0	58.32294845581055,58.32294845581055,58.32294845581055	29547.json
42	3	5	0.0	70.7247085571289	17747.json
12,12,12,12	3,3,3,3	6,6,6,6	0.0025624206755310297,0.0025624206755310297,0.0025624206755310297,0.0025624206755310297	97.14689636230469,97.14689636230469,97.14689636230469,97.14689636230469	12468.json
19,19,19	2,2,2	0,0,0	0.004380166530609131,0.004380166530609131,0.004380166530609131	89.06050109863281,89.06050109863281,89.06050109863281	18400.json
31,31,31,31,24	3,3,3,3,3	4,4,4,4,4	0.0,1.4341394125949591E-4,1.4341394125949591E-4,1.4341394125949591E-4,0.0	80.07110595703125,80.36241149902344,80.36241149902344,80.36241149902344,84.1489028930664	24796.json
3	1	0	0.015579616650938988	128.3351287841797	220.json
19,19,19	1,1,1	0,0,0	0.0,0.0,0.0	87.99485778808594,87.99485778808594,87.99485778808594	32950.json
23,23,23,23,23	5,5,5,5,5	13,15,15,15,15	0.005426421761512756,0.004277766216546297,0.004277766216546297,0.004277766216546297,0.004047473426908255	83.72466278076172,83.05889129638672,83.05889129638672,83.05889129638672,83.03388977050781	15222.json
46,46,46,46,46,46	10,10,10,10,10,10	20,20,20,20,20,20	1.6156269703060389E-4,1.525067928014323E-4,1.9209594756830484E-4,1.9343143503647298E-4,2.364507527090609E-4,2.364507527090609E-4	68.08509826660156,68.08509826660156,68.08509826660156,68.08509826660156,68.08509826660156,68.08509826660156	29590.json
