SLOCStandard	McCabe	Mcclure	Readability	MaintainabilityIndex	file
20,20,20,20,20,20	5,5,5,5,5,5	7,7,7,5,5,5	0.007881583645939827,0.007881583645939827,0.003145169233903289,0.005664011929184198,0.005793799180537462,0.0035644322633743286	88.3757095336914,88.3757095336914,87.5240478515625,87.78850555419922,88.18233489990234,88.25225830078125	10931.json
9,9	2,2	2,2	0.40974533557891846,0.40974533557891846	107.98867797851562,107.98867797851562	27662.json
6,8,8	2,3,3	3,3,3	0.13452164828777313,0.018993457779288292,0.01463224831968546	114.14045715332031,106.3864517211914,106.3864517211914	12672.json
11,7,10,10,10,10,14,14,14,14,16	3,2,3,3,3,3,4,4,4,3,4	4,2,4,4,4,4,8,8,8,6,8	0.0558474026620388,0.20688974857330322,0.09083233028650284,0.0846637561917305,0.0892411321401596,0.0892411321401596,0.0023974331561475992,0.0026077162474393845,0.001411812729202211,0.004480917938053608,0.003670135512948036	101.07766723632812,111.01065063476562,102.9505844116211,103.110595703125,103.110595703125,103.110595703125,94.17039489746094,94.043212890625,94.09027099609375,95.57579040527344,92.84698486328125	27491.json
4	1	0	0.35200467705726624	123.37332153320312	14217.json
3,3	1,1	0,0	0.26401999592781067,0.26401999592781067	131.75106811523438,131.75106811523438	9511.json
3,3,3,5,10,10,10,10,10,17,18,18,17,17,17,17,17,17,17,11	1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2	0,0,0,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,0	0.09166035056114197,0.10409839451313019,0.10409839451313019,0.259017676115036,0.15192821621894836,0.1459359973669052,0.11953367292881012,0.07954610884189606,0.07954610884189606,0.06251154839992523,0.012986632063984871,0.011621028184890747,0.05275573953986168,0.05275573953986168,0.04948262870311737,0.02517736703157425,0.051081568002700806,0.03467222675681114,0.03975420072674751,0.17444854974746704	128.60531616210938,128.60531616210938,128.60531616210938,115.8033676147461,103.36197662353516,103.36197662353516,103.07205200195312,102.79486083984375,102.79486083984375,91.07508087158203,89.74082946777344,89.86280059814453,91.20491790771484,91.20491790771484,91.05704498291016,90.75882720947266,91.15515899658203,90.80546569824219,90.9778823852539,101.94847869873047	17527.json
22,22,22,30	5,5,5,7	4,4,4,4	0.039061155170202255,0.039061155170202255,0.03514379262924194,6.732172332704067E-4	86.3819351196289,86.3819351196289,86.15705871582031,78.64717102050781	4307.json
3,3	1,1	0,0	0.2373504936695099,0.2373504936695099	128.53907775878906,128.53907775878906	7833.json
4	1	0	0.2551170289516449	124.05243682861328	17027.json
3,3	1,1	0,0	0.5408390164375305,0.5408390164375305	129.47398376464844,129.47398376464844	6926.json
3,3	1,1	0,0	0.2575269937515259,0.27505049109458923	128.62307739257812,128.62307739257812	24295.json
5,5	2,2	0,0	0.1262977570295334,0.11083760857582092	119.9036865234375,119.9036865234375	21055.json
4	1	0	0.09501620382070541	123.8484878540039	25185.json
7,6	3,2	2,0	0.8682328462600708,0.9241218566894531	112.9091567993164,117.45413208007812	14231.json
3	1	0	0.02229720912873745	127.59099578857422	16531.json
7,7,3,9,9,10,10,11,5	1,1,1,2,2,2,2,2,1	0,0,0,0,0,0,0,0,0	0.04814109951257706,0.04814109951257706,0.028519203886389732,0.30762195587158203,0.30912327766418457,0.23848843574523926,0.34863603115081787,0.25606992840766907,0.4391350746154785	112.69537353515625,112.69537353515625,129.37762451171875,107.27902221679688,106.93107604980469,104.276611328125,104.52652740478516,102.44091796875,119.0662612915039	25728.json
