MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
1872.json	lombok.core.configuration.ConfigurationDataType.Anonymous-c2d04571-0b8d-4d1a-99ff-92d264484706.description()	noCall	noCall	true	1662
1534.json	lombok.javac.CapturingDiagnosticListener.CompilerMessage.getLine()	noCall	noCall	true	1975
1646.json	lombok.javac.apt.InterceptingJavaFileObject.getKind()	noCall	noCall	true	2900
156.json	lombok.delombok.PrettyPrinter.lineEndPos(java.lang.String, int)	176.json	lombok.delombok.PrettyPrinter.printDocComment(com.sun.tools.javac.tree.JCTree)	true	967
763.json	lombok.installer.InstallerGUI.IdesList.addLocation(lombok.installer.IdeLocation)	null,745.json,null,null	lombok.installer.InstallerGUI.Anonymous-7a69bfbc-4164-4c7b-b385-c37a2dc21afa.run(),lombok.installer.InstallerGUI.buildIdeArea(),lombok.installer.InstallerGUI.Anonymous-cfa58a35-f292-45ec-a052-6c0896cb7437.run(),lombok.installer.InstallerGUI.Anonymous-9b8246c9-0c04-45a9-8f36-4ed072175db0.actionPerformed(java.awt.event.ActionEvent)	true	3142
1992.json	lombok.core.configuration.ConfigurationKeysLoader.LoaderLoader.loadAllConfigurationKeys()	1908.json	lombok.core.configuration.ConfigurationApp.runApp(java.util.List<java.lang.String>)	true	1634
477.json	lombok.javac.java7.CommentCollectingScanner.determineEndConnection(int)	476.json	lombok.javac.java7.CommentCollectingScanner.processComment(com.sun.tools.javac.parser.Scanner.CommentStyle)	true	2527
840.json	lombok.installer.eclipse.StandardProductDescriptor.platformPattern()	839.json	lombok.installer.eclipse.StandardProductDescriptor.getLocationSelectors(java.lang.String)	true	572
453.json	lombok.javac.Javac.getFieldIfExists(java.lang.Class<?>, java.lang.String)	noCall	noCall	true	537
166.json	lombok.delombok.PrettyPrinter.println(java.lang.CharSequence, com.sun.tools.javac.tree.JCTree)	179.json	lombok.delombok.PrettyPrinter.visitTopLevel(com.sun.tools.javac.tree.JCTree.JCCompilationUnit)	false	967
2271.json	lombok.core.Main.main(java.lang.String[])	noCall	noCall	true	3146
121.json	lombok.delombok.ant.Tasks.Format.getValue()	139.json	lombok.delombok.ant.Tasks.Delombok.execute()	true	1672
3167.json	lombok.eclipse.agent.PatchValEclipsePortal.addFinalAndValAnnotationToVariableDeclarationStatement(java.lang.Object, java.lang.Object, java.lang.Object)	noCall	noCall	true	2613
2159.json	lombok.core.AnnotationValues.getActualExpression(java.lang.String)	noCall	noCall	false	2804
2068.json	lombok.core.debug.ProblemReporter.EclipseWorkspaceLogger.msg(int, java.lang.String, java.lang.Throwable)	noCall	noCall	true	1478
1234.json	lombok.javac.handlers.JavacHandlerUtil.annotationTypeMatches(java.lang.String, lombok.javac.JavacNode)	1332.json,1229.json	lombok.javac.handlers.JavacHandlerUtil.sanityCheckForMethodGeneratingAnnotationsOnBuilderClass(lombok.javac.JavacNode, lombok.javac.JavacNode),lombok.javac.handlers.JavacHandlerUtil.hasAnnotation(java.lang.String, lombok.javac.JavacNode, boolean)	true	154
1891.json	lombok.core.configuration.ConfigurationDataType.getParser()	1948.json,1910.json	lombok.core.configuration.ConfigurationParser.parse(java.lang.CharSequence, java.lang.String, lombok.core.configuration.ConfigurationParser.Collector),lombok.core.configuration.ConfigurationApp.generate(java.util.Collection<lombok.core.configuration.ConfigurationKey<?>>, boolean)	true	1665
172.json	lombok.delombok.PrettyPrinter.consumeTrailingComments(int)	164.json,159.json	lombok.delombok.PrettyPrinter.println(com.sun.tools.javac.tree.JCTree),lombok.delombok.PrettyPrinter.print(com.sun.tools.javac.tree.JCTree)	true	967
2867.json	lombok.eclipse.handlers.singulars.EclipseGuavaMapSingularizer.getAddMethodName()	noCall	noCall	true	1268
1727.json	lombok.javac.JavacASTAdapter.visitCompilationUnit(lombok.javac.JavacNode, com.sun.tools.javac.tree.JCTree.JCCompilationUnit)	noCall	noCall	true	3311
42.json	com.sun.tools.javac.code.Symbol.ClassSymbol.getNestingKind()	noCall	noCall	true	225
1663.json	lombok.javac.apt.Processor.string(java.lang.StringBuilder, java.lang.String)	1659.json,1662.json	lombok.javac.apt.Processor.listOptions(java.lang.StringBuilder, javax.annotation.processing.ProcessingEnvironment),lombok.javac.apt.Processor.listProperties(java.lang.StringBuilder)	true	949
490.json	lombok.javac.java6.CommentCollectingScanner.processComment(com.sun.tools.javac.parser.Scanner.CommentStyle)	noCall	noCall	true	3149
898.json	lombok.bytecode.ClassFileMetaData.usesMethod(java.lang.String, java.lang.String, java.lang.String)	noCall	noCall	true	2897
896.json	lombok.bytecode.ClassFileMetaData.usesField(java.lang.String, java.lang.String)	noCall	noCall	true	2897
548.json	lombok.javac.JavacTreeMaker.Break(com.sun.tools.javac.util.Name)	null	lombok.javac.handlers.singulars.JavacJavaUtilSingularizer.createJavaUtilSetMapInitialCapacitySwitchStatements(lombok.javac.JavacTreeMaker, lombok.javac.handlers.JavacSingularsRecipes.SingularData, lombok.javac.JavacNode, boolean, java.lang.String, java.lang.String, java.lang.String, com.sun.tools.javac.tree.JCTree, java.lang.String)	false	1812
1603.json	lombok.javac.apt.Javac6BaseFileObjectWrapper.hashCode()	noCall	noCall	true	2738
1810.json	lombok.javac.CompilerMessageSuppressor.enableLoggers()	1558.json,1563.json	lombok.javac.JavacResolution.resolveMethodMember(lombok.javac.JavacNode),lombok.javac.JavacResolution.resolveClassMember(lombok.javac.JavacNode)	true	2808
167.json	lombok.delombok.PrettyPrinter.aPrint(java.lang.CharSequence)	179.json,176.json,250.json	lombok.delombok.PrettyPrinter.visitTopLevel(com.sun.tools.javac.tree.JCTree.JCCompilationUnit),lombok.delombok.PrettyPrinter.printDocComment(com.sun.tools.javac.tree.JCTree),lombok.delombok.PrettyPrinter.printLambda0(com.sun.tools.javac.tree.JCTree)	false	967
356.json	lombok.website.CompileChangelog.markdownToHtml(java.lang.String)	351.json,354.json,357.json,353.json,null	lombok.website.CompileChangelog.main(java.lang.String[]),lombok.website.CompileChangelog.getHtmlStartingAtSection(java.io.File, java.lang.String),lombok.website.CompileChangelog.buildEdge(java.lang.String),lombok.website.CompileChangelog.getHtml(java.io.File),lombok.website.CompileChangelog.buildLatest(java.lang.String)	true	3123
2763.json	lombok.eclipse.handlers.EclipseHandlerUtil.cloneSelfType(lombok.eclipse.EclipseNode)	noCall	noCall	true	1273
812.json	lombok.installer.eclipse.EclipseProductLocationProvider.DirectoryFinder.findEclipse(java.util.List<lombok.installer.IdeLocation>, java.util.List<lombok.installer.CorruptedIdeLocationException>)	803.json	lombok.installer.eclipse.EclipseProductLocationProvider.findIdes(java.util.List<lombok.installer.IdeLocation>, java.util.List<lombok.installer.CorruptedIdeLocationException>)	true	3294
57.json	com.sun.tools.javac.parser.ScannerFactory.instance(com.sun.tools.javac.util.Context)	426.json,474.json,462.json,427.json	lombok.javac.java8.CommentCollectingParserFactory.newParser(java.lang.CharSequence, boolean, boolean, boolean),lombok.javac.java7.CommentCollectingParserFactory.newParser(java.lang.CharSequence, boolean, boolean, boolean),lombok.javac.java9.CommentCollectingParserFactory.newParser(java.lang.CharSequence, boolean, boolean, boolean, boolean),lombok.javac.java8.CommentCollectingParserFactory.newParser(java.lang.CharSequence, boolean, boolean, boolean, boolean)	true	2445
