MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
3436.json	org.hibernate.search.indexes.serialization.impl.LuceneWorkHydrator.addPurgeAllLuceneWork(java.lang.String)	noCall	noCall	true	1836
1435.json	org.hibernate.search.backend.impl.lucene.LuceneBackendResources.getWorkspace()	1491.json,1497.json	org.hibernate.search.backend.impl.lucene.WorkspaceHolder.closeIndexWriter(),org.hibernate.search.backend.impl.lucene.LuceneBackendQueueTask.applyUpdates()	true	2870
608.json	org.hibernate.search.engine.metadata.impl.ContainedInMetadata.getContainedInMember()	368.json	org.hibernate.search.engine.spi.AbstractDocumentBuilder.appendContainedInWorkForInstance(java.lang.Object, org.hibernate.search.engine.impl.WorkPlan, org.hibernate.search.engine.spi.ContainedInRecursionContext, java.lang.String)	true	1158
3294.json	org.hibernate.search.indexes.spi.DirectoryBasedIndexManager.getIndexName()	1443.json,3508.json,1360.json,1366.json,3558.json,1359.json	org.hibernate.search.backend.impl.lucene.WorkspaceFactory.createWorkspace(org.hibernate.search.indexes.spi.DirectoryBasedIndexManager, org.hibernate.search.spi.WorkerBuildContext, java.util.Properties),org.hibernate.search.indexes.impl.SharingBufferReaderProvider.initialize(org.hibernate.search.indexes.spi.DirectoryBasedIndexManager, java.util.Properties),org.hibernate.search.backend.impl.lucene.AbstractWorkspaceImpl.closeIndexWriter(),org.hibernate.search.backend.impl.lucene.AbstractWorkspaceImpl.getIndexName(),org.hibernate.search.indexes.impl.NotSharedReaderProvider.initialize(org.hibernate.search.indexes.spi.DirectoryBasedIndexManager, java.util.Properties),org.hibernate.search.backend.impl.lucene.AbstractWorkspaceImpl.shutDownNow()	true	1849
1369.json	org.hibernate.search.backend.impl.lucene.works.PurgeAllWorkExecutor.performWork(org.hibernate.search.backend.LuceneWork, org.hibernate.search.backend.impl.lucene.IndexWriterDelegate, org.hibernate.search.backend.IndexingMonitor)	noCall	noCall	true	2870
6354.json	org.hibernate.search.hcore.util.impl.HibernateHelper.isInitialized(java.lang.Object)	noCall	noCall	true	2244
2281.json	org.hibernate.search.query.dsl.impl.ConnectedFacetRangeBelowContinuationContext.excludeLimit()	noCall	noCall	true	1982
316.json	org.hibernate.search.engine.spi.SearchMappingHelper.getProgrammaticMappingClass(java.lang.Object, org.hibernate.search.engine.service.classloading.spi.ClassLoaderService)	313.json	org.hibernate.search.engine.spi.SearchMappingHelper.extractSearchMapping(org.hibernate.search.cfg.spi.SearchConfiguration)	true	2445
3108.json	org.hibernate.search.cfg.PropertyDescriptor.getIndexEmbedded()	1078.json	org.hibernate.search.engine.impl.MappingModelMetadataProvider.MappingModelAnnotationReader.createIndexEmbedded(org.hibernate.search.cfg.PropertyDescriptor)	true	2463
2778.json	org.hibernate.search.util.impl.ScopedLuceneAnalyzer.getLuceneAnalyzer(org.hibernate.search.analyzer.impl.AnalyzerReference)	null,null	org.hibernate.search.util.impl.ScopedLuceneAnalyzer.setGlobalAnalyzerReference(org.hibernate.search.analyzer.impl.AnalyzerReference),org.hibernate.search.util.impl.ScopedLuceneAnalyzer.addScopedAnalyzerReference(java.lang.String, org.hibernate.search.analyzer.impl.AnalyzerReference)	true	112
236.json	org.hibernate.search.bridge.impl.XMemberToAnnotatedElementAdaptor.getAnnotation(java.lang.Class<T>)	noCall	noCall	true	858
6243.json	org.hibernate.search.indexes.serialization.avro.impl.ProtocolBuilderV1_0.getResourceBasePath()	6244.json,6242.json	org.hibernate.search.indexes.serialization.avro.impl.ProtocolBuilderV1_0.parseProtocol(java.lang.String),org.hibernate.search.indexes.serialization.avro.impl.ProtocolBuilderV1_0.parseSchema(java.lang.String)	true	732
