MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
7001.json	voldemort.routing.StoreRoutingPlan.getMasterPartitionId(byte[])	8798.json,11458.json,7923.json,7587.json,11210.json	voldemort.utils.AbstractConsistencyFixer.doConsistencyFix(),voldemort.VoldemortAdminTool.executeShowRoutingPlan(voldemort.client.protocol.admin.AdminClient, java.lang.String, java.util.List<java.lang.String>),voldemort.server.storage.prunejob.VersionedPutPruneJob.operate(),voldemort.server.protocol.admin.FullScanFetchStreamRequestHandler.getMasterPartitionId(byte[]),voldemort.tools.admin.command.AdminCommandDebug.SubCommandDebugRoute.doDebugRoute(voldemort.client.protocol.admin.AdminClient, java.lang.String, java.util.List<java.lang.String>, java.lang.String)	true	788
10157.json	voldemort.store.CompositeVoldemortRequest.setRequestOriginTimeInMs(long)	9037.json	voldemort.rest.coordinator.DynamicTimeoutStoreClient.putWithCustomTimeout(voldemort.store.CompositeVoldemortRequest<K, V>)	true	776
9704.json	voldemort.store.stats.StoreStatsJmx.getMaxGetKeySizeInBytes()	noCall	noCall	true	1691
7922.json	voldemort.server.storage.prunejob.VersionedPutPruneJob.setStoreName(java.lang.String)	7681.json,null	voldemort.server.protocol.admin.AdminServiceRequestHandler.handlePruneJob(voldemort.client.protocol.pb.VAdminProto.PruneJobRequest),voldemort.server.protocol.admin.AdminServiceRequestHandler.Anonymous-7b2836c7-03de-4a99-94ba-ada0a5c39822.operate()	true	725
5781.json	voldemort.client.protocol.pb.VAdminProto.VoldemortAdminRequest.Builder.setGetRoMaxVersionDir(voldemort.client.protocol.pb.VAdminProto.GetROMaxVersionDirRequest)	noCall	noCall	true	1586
6174.json	voldemort.client.protocol.pb.VProto.KeyedVersions.newBuilder(voldemort.client.protocol.pb.VProto.KeyedVersions)	null	voldemort.client.protocol.pb.VProto.KeyedVersions.toBuilder()	true	2311
7281.json	voldemort.server.VoldemortConfig.isSlopEnabled()	7867.json	voldemort.server.storage.StorageService.startInner()	true	665
9708.json	voldemort.store.stats.StoreStatsJmx.getAveragePutSizeInBytes()	noCall	noCall	true	1691
7602.json	voldemort.server.protocol.admin.FetchPartitionFileStreamRequestHandler.ChunkedFileWriter.writeHeader()	7599.json	voldemort.server.protocol.admin.FetchPartitionFileStreamRequestHandler.handleSendDataFile(java.io.DataOutputStream)	true	1558
7298.json	voldemort.server.VoldemortConfig.setSchedulerThreads(int)	noCall	noCall	true	665
7191.json	voldemort.server.VoldemortConfig.isBdbWriteTransactionsEnabled()	noCall	noCall	true	665
748.json	voldemort.client.HttpStoreClientFactory.close()	noCall	noCall	true	2384
4114.json	voldemort.client.protocol.pb.VAdminProto.GetROMaxVersionDirResponse.newBuilder(voldemort.client.protocol.pb.VAdminProto.GetROMaxVersionDirResponse)	null	voldemort.client.protocol.pb.VAdminProto.GetROMaxVersionDirResponse.toBuilder()	true	1586
10172.json	voldemort.store.AbstractStorageEngine.resolveAndConstructVersionsToPersist(java.util.List<voldemort.versioning.Versioned<V>>, java.util.List<voldemort.versioning.Versioned<V>>)	10892.json,385.json,10170.json,9485.json	voldemort.store.memory.InMemoryStorageEngine.multiVersionPut(K, java.util.List<voldemort.versioning.Versioned<V>>),voldemort.store.krati.KratiStorageEngine.multiVersionPut(voldemort.utils.ByteArray, java.util.List<voldemort.versioning.Versioned<byte[]>>),voldemort.store.AbstractStorageEngine.multiVersionPut(K, java.util.List<voldemort.versioning.Versioned<V>>),voldemort.store.rocksdb.RocksDbStorageEngine.multiVersionPut(voldemort.utils.ByteArray, java.util.List<voldemort.versioning.Versioned<byte[]>>)	true	833
7440.json	voldemort.server.VoldemortConfig.getRepairJobMaxKeysScannedPerSec()	7867.json	voldemort.server.storage.StorageService.startInner()	true	665
8518.json	voldemort.utils.Props.getInt(java.lang.String)	172.json,null,null,617.json,null,9061.json,317.json	voldemort.store.readonly.mr.azkaban.VoldemortBuildAndPushJob.verifyOrAddStoreAvro(java.lang.String, boolean),voldemort.store.readonly.mr.azkaban.VoldemortBuildAndPushJob.findAndVerify(java.lang.String, java.lang.String, boolean, int, int, int),voldemort.store.readonly.mr.azkaban.VoldemortBuildAndPushJob.findAndVerifyAvro(java.lang.String, java.lang.String, boolean, int, int, int, java.lang.String, voldemort.store.readonly.mr.azkaban.VoldemortBuildAndPushJob.KeyValueSchema),voldemort.client.ClientConfig.setProperties(java.util.Properties),voldemort.store.readonly.mr.azkaban.VoldemortBuildAndPushJob.verifyOrAddStore(java.lang.String),voldemort.rest.coordinator.config.CoordinatorConfig.setProperties(java.util.Properties),voldemort.restclient.RESTClientConfig.setProperties(java.util.Properties)	true	2424
8960.json	voldemort.rest.RestPutRequestValidator.parseAndValidateRequest()	8959.json	voldemort.rest.RestPutRequestValidator.constructCompositeVoldemortRequestObject()	true	776
7328.json	voldemort.server.VoldemortConfig.isServerRoutingEnabled()	null,null,7873.json,null	voldemort.server.storage.StorageService.openSystemStore(voldemort.store.StoreDefinition),voldemort.server.storage.StorageService.removeEngine(voldemort.store.StorageEngine<voldemort.utils.ByteArray, byte[], byte[]>, boolean, java.lang.String, boolean),voldemort.server.storage.StorageService.openStore(voldemort.store.StoreDefinition),voldemort.server.storage.StorageService.unregisterSystemEngine(voldemort.store.StorageEngine<voldemort.utils.ByteArray, byte[], byte[]>)	true	665
11129.json	voldemort.tools.admin.command.AdminCommandCleanup.executeHelp(java.lang.String[], java.io.PrintStream)	11126.json	voldemort.tools.admin.command.AdminCommand.executeHelp(java.lang.String[], java.io.PrintStream)	true	489
9447.json	voldemort.store.rebalancing.RedirectingStore.redirectingGetVersions(voldemort.utils.ByteArray)	9451.json	voldemort.store.rebalancing.RedirectingStore.getVersions(voldemort.utils.ByteArray)	true	838
1056.json	voldemort.client.protocol.admin.AdminClientConfig.setAdminSocketKeepAlive(boolean)	noCall	noCall	true	1986
11253.json	voldemort.tools.admin.command.AdminCommandStream.SubCommandStreamUpdateEntries.doStreamUpdateEntries(voldemort.client.protocol.admin.AdminClient, java.lang.Integer, java.util.List<java.lang.String>, java.io.File)	11242.json	voldemort.tools.admin.command.AdminCommandStream.SubCommandStreamUpdateEntries.executeCommand(java.lang.String[])	true	489
9846.json	voldemort.store.configuration.ConfigurationStorageEngine.put(java.lang.String, voldemort.versioning.Versioned<java.lang.String>, java.lang.String)	noCall	noCall	true	2175
128.json	voldemort.store.readonly.mr.azkaban.AbstractHadoopJob.cancel()	noCall	noCall	true	1055
