MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
1390.json	com.sun.jna.platform.win32.OleAuto.DISPPARAMS.setRgdispidNamedArgs(com.sun.jna.platform.win32.OaIdl.DISPID[])	2404.json,1948.json	com.sun.jna.platform.win32.COM.util.ProxyObject.oleMethod(int, com.sun.jna.platform.win32.Variant.VARIANT.ByReference, com.sun.jna.platform.win32.COM.util.IDispatch, com.sun.jna.platform.win32.OaIdl.DISPID, com.sun.jna.platform.win32.Variant.VARIANT[]),com.sun.jna.platform.win32.COM.COMBindingBaseObject.oleMethod(int, com.sun.jna.platform.win32.Variant.VARIANT.ByReference, com.sun.jna.platform.win32.COM.IDispatch, com.sun.jna.platform.win32.OaIdl.DISPID, com.sun.jna.platform.win32.Variant.VARIANT[])	true	801
178.json	com.sun.jna.platform.WindowUtils.X11WindowUtils.Anonymous-a51f0b32-4bbd-4909-9302-6911be713f4d.getPixmap(com.sun.jna.platform.unix.X11.Display, com.sun.jna.platform.unix.X11.Window)	noCall	noCall	true	3756
3876.json	com.sun.jna.Pointer.Opaque.read(long, char[], int, int)	noCall	noCall	true	3910
138.json	com.sun.jna.platform.WindowUtils.W32WindowUtils.setWindowMask(java.awt.Component, java.awt.Shape)	noCall	noCall	true	3826
3141.json	jnacontrib.x11.demos.XDesktopDemo.WindowTableModel.addTableModelListener(javax.swing.event.TableModelListener)	noCall	noCall	true	1384
4027.json	com.sun.jna.PointerType.nativeType()	noCall	noCall	true	3975
4155.json	com.sun.jna.Structure.autoWrite()	null,4155.json,3931.json,4154.json,4243.json	com.sun.jna.Pointer.setValue(long, java.lang.Object, java.lang.Class<?>),com.sun.jna.Structure.autoWrite(),com.sun.jna.Function.convertArgument(java.lang.Object[], int, java.lang.reflect.Method, com.sun.jna.TypeMapper, boolean, java.lang.Class<?>),com.sun.jna.Structure.autoWrite(com.sun.jna.Structure[]),com.sun.jna.CallbackReference.DefaultCallbackProxy.invokeCallback(java.lang.Object[])	true	3319
2010.json	com.sun.jna.platform.win32.COM.TypeInfoUtil.Invoke.getpExcepInfo()	noCall	noCall	true	1936
1758.json	com.sun.jna.platform.win32.WinNT.OSVERSIONINFOEX.getProductType()	noCall	noCall	true	930
2667.json	com.sun.jna.platform.mac.MacFileUtils.moveToTrash(java.io.File[])	noCall	noCall	true	3033
1690.json	com.sun.jna.platform.win32.NTSecApi.LSA_FOREST_TRUST_INFORMATION.getEntries()	noCall	noCall	true	3032
74.json	com.sun.jna.contrib.demo.GhostedDragImageDemo.DragLabel.Anonymous-b5983fa4-cab4-4bdd-847c-202e7c15521c.dragDropEnd(java.awt.dnd.DragSourceDropEvent)	noCall	noCall	true	4091
3567.json	com.sun.jna.Native.unregister(java.lang.Class<?>)	3566.json	com.sun.jna.Native.unregister()	true	3343
41.json	com.sun.jna.platform.win32.Win32WindowDemo.callback(com.sun.jna.platform.win32.WinDef.HWND, int, com.sun.jna.platform.win32.WinDef.WPARAM, com.sun.jna.platform.win32.WinDef.LPARAM)	noCall	noCall	true	2057
2340.json	com.sun.jna.platform.win32.COM.util.Factory.createDispatchCallback(java.lang.Class<?>, com.sun.jna.platform.win32.COM.util.IComEventCallbackListener)	noCall	noCall	true	758
1754.json	com.sun.jna.platform.win32.WinNT.OSVERSIONINFOEX.getBuildNumber()	noCall	noCall	true	930
3704.json	com.sun.jna.CallbackThreadInitializer.getName(com.sun.jna.Callback)	4225.json	com.sun.jna.CallbackReference.initializeThread(com.sun.jna.Callback, com.sun.jna.CallbackReference.AttachOptions)	true	2536
2192.json	com.sun.jna.platform.win32.COM.tlb.imp.TlbBase.isDispIdMode()	noCall	noCall	true	1793
3681.json	com.sun.jna.Platform.isLinux()	4197.json,4191.json,4216.json	com.sun.jna.NativeLibrary.getInstance(java.lang.String, java.util.Map<java.lang.String, ?>),com.sun.jna.NativeLibrary.loadLibrary(java.lang.String, java.util.Map<java.lang.String, ?>),com.sun.jna.NativeLibrary.mapSharedLibraryName(java.lang.String)	true	4080
2481.json	com.sun.jna.platform.win32.COM.Moniker.Load(com.sun.jna.platform.win32.COM.IStream)	noCall	noCall	true	1223
1023.json	com.sun.jna.platform.win32.DdemlUtil.DdeAdapter.unregisterRequestHandler(com.sun.jna.platform.win32.DdemlUtil.RequestHandler)	null	com.sun.jna.platform.win32.DdemlUtil.DdeClient.unregisterRequestHandler(com.sun.jna.platform.win32.DdemlUtil.RequestHandler)	true	692
3483.json	com.sun.jna.contrib.demo.FilteredTextField.createDefaultModel()	noCall	noCall	true	4058
3188.json	jnacontrib.x11.api.X.Window.getWindowProperty(com.sun.jna.platform.unix.X11.Atom, java.lang.String)	3148.json,3150.json	jnacontrib.x11.api.X.Display.getWindowManagerInfo(),jnacontrib.x11.api.X.Display.getActiveWindow()	true	1384
2556.json	com.sun.jna.platform.win32.W32Service.getFailureActionsFlag()	noCall	noCall	true	1065
3504.json	com.sun.jna.Native.getDirectBufferPointer(java.nio.Buffer)	null,null	com.sun.jna.Pointer.setValue(long, java.lang.Object, java.lang.Class<?>),com.sun.jna.Pointer.getValue(long, java.lang.Class<?>, java.lang.Object)	true	2696
55.json	com.sun.jna.platform.win32.Win32WindowDemo.onCreate(com.sun.jna.platform.win32.WinDef.WPARAM, com.sun.jna.platform.win32.WinDef.LPARAM)	41.json	com.sun.jna.platform.win32.Win32WindowDemo.callback(com.sun.jna.platform.win32.WinDef.HWND, int, com.sun.jna.platform.win32.WinDef.WPARAM, com.sun.jna.platform.win32.WinDef.LPARAM)	true	2051
3860.json	com.sun.jna.Pointer.setNativeLong(long, com.sun.jna.NativeLong)	4168.json	com.sun.jna.ptr.NativeLongByReference.setValue(com.sun.jna.NativeLong)	true	4079
