MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
5676.json	org.springframework.boot.web.embedded.tomcat.TomcatServletWebServerFactory.LoaderHidingWebResourceSet.gc()	noCall	noCall	true	192
9748.json	org.springframework.boot.devtools.tunnel.client.HttpTunnelConnection.createRequest(boolean)	9755.json	org.springframework.boot.devtools.tunnel.client.HttpTunnelConnection.TunnelChannel.sendAndReceive(org.springframework.boot.devtools.tunnel.payload.HttpTunnelPayload)	true	976
4300.json	org.springframework.boot.context.properties.migrator.PropertiesMigrationReport.LegacyProperties.getRenamed()	noCall	noCall	true	10
9519.json	org.springframework.boot.devtools.restart.ChangeableUrls.isFolderUrl(java.lang.String)	noCall	noCall	true	976
6692.json	org.springframework.boot.context.event.ApplicationFailedEvent.getException()	noCall	noCall	true	1486
535.json	org.springframework.boot.autoconfigure.mustache.MustacheAutoConfiguration.checkTemplateLocationExists()	noCall	noCall	true	1119
3052.json	org.springframework.boot.autoconfigure.data.neo4j.Neo4jRepositoriesAutoConfigureRegistrar.getRepositoryConfigurationExtension()	noCall	noCall	true	678
2938.json	org.springframework.boot.autoconfigure.BackgroundPreinitializer.performPreinitialization()	2934.json	org.springframework.boot.autoconfigure.BackgroundPreinitializer.onApplicationEvent(org.springframework.boot.context.event.SpringApplicationEvent)	true	819
4808.json	org.springframework.boot.ansi.AnsiColors.getClosest(org.springframework.boot.ansi.AnsiColors.LabColor)	null	org.springframework.boot.ansi.AnsiColors.getClosest(java.awt.Color)	true	665
6758.json	org.springframework.boot.context.properties.source.ConfigurationPropertyName.toString()	7104.json,6882.json,7130.json	org.springframework.boot.context.properties.bind.UnboundConfigurationPropertiesException.buildMessage(java.util.Set<org.springframework.boot.context.properties.source.ConfigurationProperty>),org.springframework.boot.context.properties.source.DefaultPropertyMapper.map(org.springframework.boot.context.properties.source.ConfigurationPropertyName),org.springframework.boot.context.properties.bind.validation.ValidationBindHandler.validate(org.springframework.boot.context.properties.source.ConfigurationPropertyName, java.lang.Object, java.lang.Class<?>)	true	280
4596.json	org.springframework.boot.SpringApplication.setDefaultProperties(java.util.Properties)	noCall	noCall	true	1562
5897.json	org.springframework.boot.web.embedded.undertow.UndertowServletWebServerFactory.setEagerInitFilters(boolean)	noCall	noCall	true	255
9602.json	org.springframework.boot.devtools.filewatch.FileSnapshot.hashCode()	noCall	noCall	true	976
6688.json	org.springframework.boot.context.ConfigurationWarningsApplicationContextInitializer.ComponentScanPackageCheck.isProblematicPackage(java.lang.String)	6687.json	org.springframework.boot.context.ConfigurationWarningsApplicationContextInitializer.ComponentScanPackageCheck.getProblematicPackages(java.util.Set<java.lang.String>)	true	779
772.json	org.springframework.boot.autoconfigure.security.reactive.StaticResourceRequest.StaticResourceServerWebExchange.excluding(org.springframework.boot.autoconfigure.security.StaticResourceLocation, org.springframework.boot.autoconfigure.security.StaticResourceLocation...)	noCall	noCall	true	13
5958.json	org.springframework.boot.web.reactive.result.view.MustacheViewResolver.requiredViewClass()	noCall	noCall	true	282
7248.json	org.springframework.boot.context.properties.PropertyMapper.whenNonNull(org.springframework.boot.context.properties.PropertyMapper.Source<T>)	noCall	noCall	true	48
5506.json	org.springframework.boot.web.embedded.jetty.JettyReactiveWebServerFactory.getServerCustomizers()	noCall	noCall	false	199
1482.json	org.springframework.boot.autoconfigure.condition.ConditionMessage.empty()	1445.json	org.springframework.boot.autoconfigure.condition.ConditionOutcome.match()	false	512
7685.json	org.springframework.boot.actuate.liquibase.LiquibaseEndpoint.ChangeSet.getAuthor()	noCall	noCall	true	177
5861.json	org.springframework.boot.web.embedded.undertow.UndertowServletWebServerFactory.getWebServer(org.springframework.boot.web.servlet.ServletContextInitializer...)	noCall	noCall	true	326
8337.json	org.springframework.boot.actuate.web.mappings.servlet.FilterRegistrationMappingDescription.getServletNameMappings()	noCall	noCall	true	16
