Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	isGetterSetter	ChangeDates	NewAdditions	DiffSizes	EditDistances	Buggycommiit	file
4689	13,13,24,24,24,15,16,20	11,11,13,13,13,9,10,9	11,11,20,20,20,13,14,17	0,0,0,0,0,0,0,0	0,17,891,1197,1200,2811,2897,2958	0,0,18,1,0,10,4,11	0,0,25,2,0,29,7,18	0,0,535,10,0,634,138,406	0,0,0,0,0,0,0,0	29604.json
1878	3	3	3	1	0	0	0	0	0	7674.json
4689	3,3,3	3,3,3	3,3,3	0,0,0	0,17,1200	0,0,0	0,0,0	0,0,0	0,0,0	29662.json
1626	3	3	3	1	0	0	0	0	0	14139.json
3268	3,3	3,3	3,3	0,0	0,466	0,0	0,0	0,0	0,0	12808.json
2359	2,2	2,2	2,2	0,0	0,2	0,0	0,0	0,0	0,0	16597.json
3325	3	3	3	0	0	0	0	0	0	30320.json
4689	3,3,3	3,3,3	3,3,3	0,0,0	0,17,1200	0,0,0	0,0,0	0,0,0	0,0,0	19168.json
559	18,18	14,14	15,15	0,0	0,10	0,1	0,2	0,18	0,0	29035.json
1659	4,4	4,4	4,4	0,0	0,739	0,4	0,8	0,4	0,0	12458.json
3752	4,4,4,4,4,4	4,4,4,4,4,4	4,4,4,4,4,4	0,0,0,0,0,0	0,168,203,263,1874,2988	0,0,1,0,2,1	0,0,2,0,4,2	0,0,8,0,62,14	0,0,0,0,0,0	25218.json
4689	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0,0,0,0,0	0,17,776,1200,1345	0,0,1,0,0	0,0,2,0,0	0,0,22,0,0	0,0,0,0,0	18578.json
2576	15,10,15,12,16,18,18,18	11,7,11,8,11,11,11,11	12,8,12,9,13,13,13,13	0,0,0,0,0,0,0,0	0,11,32,32,180,180,180,222	0,0,5,1,5,2,0,1	0,5,5,5,6,2,0,2	0,177,173,118,297,87,0,11	0,0,0,0,0,0,0,0	20014.json
4203	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,2,714,1624	0,0,0,3	0,0,0,6	0,0,0,16	0,0,0,0	120.json
2843	3,3,3	3,3,3	3,3,3	1,1,1	0,0,1388	0,0,0	0,0,0	0,0,0	0,0,0	30538.json
4689	3,3,3	3,3,3	3,3,3	1,1,1	0,17,1200	0,0,0	0,0,0	0,0,0	0,0,0	26799.json
4689	18,18,21,21,21,21,21	9,9,11,11,11,11,11	15,15,17,17,17,17,17	0,0,0,0,0,0,0	0,17,1055,1200,1438,2012,2877	0,0,15,0,3,1,1	0,0,27,0,6,2,2	0,0,38,0,28,11,15	0,0,0,0,0,0,1	27440.json
4689	3,3,3,3	3,3,3,3	3,3,3,3	0,0,0,0	0,17,1200,2993	0,0,0,1	0,0,0,2	0,0,0,4	0,0,0,0	15674.json
4689	4,4,4,4,4,4	4,4,4,4,4,4	4,4,4,4,4,4	0,0,0,0,0,0	0,17,1200,1395,3234,3234	0,0,0,0,2,1	0,0,0,0,4,2	0,0,0,0,22,3	0,0,0,0,0,0	24403.json
1260	69,69	35,35	66,66	0,0	0,593	0,2	0,4	0,15	0,0	13797.json
4689	7,7,7	7,7,7	7,7,7	0,0,0	0,17,1200	0,0,0	0,0,0	0,0,0	0,0,0	16461.json
3648	3,3,3	3,3,3	3,3,3	0,0,0	0,159,354	0,0,0	0,0,0	0,0,0	0,0,0	16721.json
4689	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,17,1200,2113	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	26682.json
4202	16,16,16,16,16,16	15,15,15,15,15,15	16,16,16,16,16,16	0,0,0,0,0,0	0,0,618,653,713,2324	0,0,0,1,0,3	0,0,0,2,0,6	0,0,0,8,0,41	0,0,0,0,0,0	25080.json
2843	3,3,3	3,3,3	3,3,3	0,0,0	0,211,216	0,3,3	0,6,6	0,91,51	0,0,0	8086.json
4689	3,3,3	3,3,3	3,3,3	0,0,0	0,17,1200	0,0,0	0,0,0	0,0,0	0,0,0	28751.json
3019	3,3,3	3,3,3	3,3,3	0,0,0	0,4,1141	0,1,3	0,2,6	0,35,68	0,0,0	7153.json
4689	3,3,3,3	3,3,3,3	3,3,3,3	1,1,1,1	0,17,1200,1405	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	11084.json
4689	14,14,14	4,4,4	14,14,14	0,0,0	0,17,1200	0,0,0	0,0,0	0,0,0	0,0,0	27468.json
419	3	3	3	0	0	0	0	0	0	1726.json
